ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"103.240.33.153","elite","AS132923","IN","Vihaan Telecommunication Pvt. Ltd.","186","Vihaan","8291","socks4","4912","2","2023-05-25T12:46:19.505Z","98","1783","1815"
"110.139.125.237","elite","AS7713","ID","PT. TELKOM INDONESIA","294","N/A","4145","socks4","2607","85","2023-05-25T12:46:19.604Z","85","1530","1792"
"103.229.85.234","elite","AS133443","BD","Ashfakur Rahman Chowdhury","205","N/A","4145","socks4","1906","1","2023-05-25T12:46:19.602Z","98","1810","1838"
"31.204.28.96","elite","AS207710","US","SIA \"Singularity Telecom\"","92","Popov Andry Vasilievich","5432","socks5","3392","1","2023-05-25T12:46:19.597Z","100","1787","1793"
"41.90.242.102","elite","AS33771","KE","Safaricom Limited","282","Safaricom Limited","5678","socks5","4598","2","2023-05-25T12:46:16.200Z","97","1767","1813"
"70.32.25.147","elite","AS55293","US","A2 Hosting, Inc.","90","A2 Hosting, Inc.","36546","socks4","5096","1","2023-05-25T12:46:16.203Z","100","1750","1753"
"203.115.123.163","elite","AS17426","IN","PRIMENET","192","Primenet Global Ltd.","9999","socks4","127","1","2023-05-25T12:46:15.812Z","100","1845","1852"
"45.7.177.223","elite","AS266626","BR","Litoral Telecom","180","Litoral Telecom","39867","socks4","4184","1","2023-05-25T12:46:15.904Z","99","1797","1813"
"169.239.83.138","elite","AS327946","ZA","Mesh Telecom Pty Ltd","203","Minuteman Press","8080","socks5","4594","1","2023-05-25T12:46:15.897Z","98","1752","1796"
"210.213.90.26","elite","AS9299","PH","Philippine Long Distance Telephone Co.","299","Philippine Long Distance Telephone Co","8080","socks4","4894","73","2023-05-25T12:46:15.912Z","100","1826","1834"
"103.251.221.101","elite","AS58972","IN","BHOMIKA","145","Bhomika","4145","socks4","4702","2","2023-05-25T12:46:15.900Z","100","1828","1836"
"38.83.108.88","elite","AS63199","US","Cogent Communications","113","CDS Global Cloud Co., Ltd","5678","socks4","4695","1","2023-05-25T12:46:13.001Z","100","1850","1853"
"104.17.66.69","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks4","4612","1","2023-05-25T12:46:13.008Z","100","1825","1826"
"161.97.97.231","elite","AS51167","DE","Contabo GmbH","31","Contabo GmbH","10050","socks4","5090","1","2023-05-25T12:46:13.213Z","96","1785","1852"
"186.97.144.98","elite","AS27831","CO","Colombia Móvil","197","Colombia Móvil","5678","socks4","225","1","2023-05-25T12:46:12.916Z","100","1773","1780"
"38.91.106.252","elite","AS63023","US","GTHost","107","Globaltelehost Corp","48697","socks5","4590","1","2023-05-25T12:46:12.998Z","99","1783","1792"
"178.212.199.95","elite","AS39065","UA","Southern Telecommunication Company Ltd.","52","SOHONET","1099","socks4","4509","1","2023-05-25T12:46:10.206Z","82","1516","1851"
"83.220.234.102","elite","AS16345","RU","JSC \"VimpelCom\"","530","JSC VimpelCom 8 Marta st.","5678","socks4","4794","1","2023-05-25T12:46:10.302Z","21","380","1773"
"36.95.245.81","elite","AS7713","ID","PT. Telekomunikasi Indonesia","204","Telekomunikasi Indonesia","5678","socks4","4499","1","2023-05-25T12:46:10.208Z","99","1839","1851"
"36.90.172.55","elite","AS7713","ID","PT. Telekomunikasi Indonesia","182","Telekomunikasi Indonesia","4145","socks4","5098","1","2023-05-25T12:46:10.210Z","80","1470","1847"
"94.181.174.77","elite","AS41754","RU","CJSC \"ER-Telecom Holding\" Penza branch","69","JSC \"ER-Telecom Holding\" Penza Branch","4153","socks5","5001","1","2023-05-25T12:46:10.299Z","98","1776","1804"
"103.47.93.210","elite","AS134058","IN","Broban Internet Services Pvt.ltd","185","Broban  PVT Ltd.","1080","socks4","5092","1","2023-05-25T12:46:07.410Z","99","1814","1833"
"117.54.201.91","elite","AS9340","ID","PT IndoInternet","195","N/A","5678","socks4","4697","1","2023-05-25T12:46:07.399Z","98","1825","1853"
"75.169.63.196","elite","AS209","US","CenturyLink Communications, LLC","182","CenturyLink Communications, LLC","4145","socks4","4703","1","2023-05-25T12:46:07.401Z","68","1243","1832"
